question_id,test_id,section_name,section_order,question_order,text,option_a,option_b,option_c,option_d,correct,explanation,marks,negative_marks,subject,difficulty
q-ga-001,ssc-cgl-01,General Awareness,2,1,What is the capital of India??,Mumbai,Delhi,Kolkata,Chennai,1,New Delhi is the capital of India.,2,0.5,Geography,Easy
q-ga-002,ssc-cgl-01,General Awareness,2,2,Which is the largest ocean in the world?,Atlantic,Indian,Pacific,Arctic,2,Pacific Ocean is the largest.,2,0.5,Geography,Easy
q-ga-003,ssc-cgl-01,General Awareness,2,3,Who wrote National Anthem?,Tagore,Nehru,Gandhi,Patel,0,Rabindranath Tagore wrote Jana Gana Mana.,2,0.5,History,Easy
q-qa-001,ssc-cgl-01,Quantitative Aptitude,3,1,Calculate: what is 25% of 200?,25,50,75,100,1,25% of 200 = 50,2,0.5,Arithmetic,Easy
q-qa-002,ssc-cgl-01,Quantitative Aptitude,3,2,What is the result of 12 multiplied by 15?,150,180,200,220,1,12×15=180,2,0.5,Arithmetic,Easy
q-qa-003,ssc-cgl-01,Quantitative Aptitude,3,3,SI on 1000 at 10% 2 yrs?,100,200,300,400,1,SI=200,2,0.5,Simple Interest,Easy
q-re-001,ssc-cgl-01,Reasoning,1,1,Find the odd one out from the given options.,Apple,Banana,Carrot,Mango,2,Carrot is vegetable others fruits,2,0.5,Reasoning,Easy
q-re-002,ssc-cgl-01,Reasoning,1,2,"Find the next number in the series: 2,4,8,16,?",18,20,24,32,3,Pattern doubling,2,0.5,Series,Easy
q-re-003,ssc-cgl-01,Reasoning,1,3,"A is brother of B, B is sister of C → A is?",Brother,Sister,Father,Uncle,0,A is male sibling,2,0.5,Blood Relation,Easy
q-en-001,ssc-cgl-01,English,4,1,Choose the correct synonym of 'Happy'.,Sad,Joyful,Angry,Cry,1,Joyful means happy,2,0.5,Vocabulary,Easy
q-en-002,ssc-cgl-01,English,4,2,Choose the correct antonym of 'Big'.,Large,Huge,Small,Tall,2,Small is opposite,2,0.5,Vocabulary,Easy
q-en-003,ssc-cgl-01,English,4,3,Fill in the blank: He ___ going to school.,is,are,am,be,0,He takes 'is',2,0.5,Grammar,Easy
q-ga-004,ssc-cgl-03,General Awareness,2,1,Who is the President of India (2024)?,Droupadi Murmu,Ram Nath Kovind,Narendra Modi,Amit Shah,0,Droupadi Murmu is the current President.,2,0.5,Polity,Easy
q-ga-005,ssc-cgl-03,General Awareness,2,2,What is the capital of Bihar??,Gaya,Patna,Muzaffarpur,Darbhanga,1,Patna is the capital of Bihar.,2,0.5,Geography,Easy
q-ga-006,ssc-cgl-03,General Awareness,2,3,National animal of India?,Lion,Tiger,Elephant,Horse,1,Tiger is national animal.,2,0.5,Biology,Easy
q-ga-007,ssc-cgl-03,General Awareness,2,4,Which river is longest in India?,Yamuna,Ganga,Brahmaputra,Godavari,1,Ganga is longest river in India.,2,0.5,Geography,Easy
q-ga-008,ssc-cgl-03,General Awareness,2,5,Who discovered gravity?,Edison,Newton,Galileo,Darwin,1,Isaac Newton discovered gravity.,2,0.5,Science,Easy
q-ga-009,ssc-cgl-03,General Awareness,2,6,Which gas do plants absorb?,Oxygen,Nitrogen,Carbon Dioxide,Hydrogen,2,Plants absorb CO2.,2,0.5,Biology,Easy
q-ga-010,ssc-cgl-03,General Awareness,2,7,National bird of India?,Crow,Peacock,Sparrow,Dove,1,Peacock is national bird.,2,0.5,Biology,Easy
q-ga-011,ssc-cgl-03,General Awareness,2,8,Which planet is known as Red Planet?,Venus,Mars,Jupiter,Saturn,1,Mars is red planet.,2,0.5,Science,Easy
